probe_id,loading,abs_loading,gene_title,gene_symbol,gene_id,go_process,go_function
201531_PM_at,-0.05034091771293494,0.05034091771293494,ZFP36 ring finger protein,ZFP36,7538,"3'-UTR-mediated mRNA destabilization///3'-UTR-mediated mRNA destabilization///3'-UTR-mediated mRNA stabilization///MAPK cascade///cellular response to epidermal growth factor stimulus///cellular response to fibroblast growth factor stimulus///cellular response to glucocorticoid stimulus///cellular response to granulocyte macrophage colony-stimulating factor stimulus///cellular response to lipopolysaccharide///cellular response to tumor necrosis factor///mRNA catabolic process///mRNA transport///miRNA mediated inhibition of translation///negative regulation of erythrocyte differentiation///negative regulation of transcription from RNA polymerase II promoter///nuclear-transcribed mRNA catabolic process, deadenylation-dependent decay///nuclear-transcribed mRNA catabolic process, deadenylation-independent decay///nuclear-transcribed mRNA poly(A) tail shortening///p38MAPK cascade///positive regulation of fat cell differentiation///positive regulation of intracellular mRNA localization///positive regulation of nuclear-transcribed mRNA catabolic process, deadenylation-dependent decay///positive regulation of nuclear-transcribed mRNA catabolic process, deadenylation-dependent decay///positive regulation of nuclear-transcribed mRNA poly(A) tail shortening///regulation of keratinocyte apoptotic process///regulation of keratinocyte differentiation///regulation of keratinocyte proliferation///regulation of mRNA stability///regulation of mRNA stability///regulation of tumor necrosis factor production///response to starvation///response to wounding///response to wounding",14-3-3 protein binding///AU-rich element binding///AU-rich element binding///C-C chemokine binding///DNA binding///enzyme binding///mRNA 3'-UTR AU-rich region binding///mRNA 3'-UTR binding///mRNA binding///metal ion binding///poly(A) RNA binding///protein binding///protein kinase binding///single-stranded RNA binding
216841_PM_s_at,-0.05020166807777602,0.05020166807777602,"superoxide dismutase 2, mitochondrial",SOD2,6648,age-dependent response to reactive oxygen species///negative regulation of cell proliferation///negative regulation of neuron apoptotic process///negative regulation of oxidative stress-induced intrinsic apoptotic signaling pathway///oxidation-reduction process///oxygen homeostasis///protein homotetramerization///regulation of blood pressure///regulation of transcription from RNA polymerase II promoter///release of cytochrome c from mitochondria///removal of superoxide radicals///response to reactive oxygen species///response to superoxide///superoxide metabolic process///vasodilation by acetylcholine involved in regulation of systemic arterial blood pressure,identical protein binding///manganese ion binding///manganese ion binding///superoxide dismutase activity///superoxide dismutase activity
202638_PM_s_at,-0.05019513850283411,0.05019513850283411,intercellular adhesion molecule 1,ICAM1,3383,T cell activation via T cell receptor contact with antigen bound to MHC molecule on antigen presenting cell///T cell antigen processing and presentation///acute inflammatory response to antigenic stimulus///adhesion of symbiont to host///cell adhesion///cell adhesion mediated by integrin///cell aging///cellular response to alkaloid///cellular response to glucose stimulus///cellular response to hypoxia///cellular response to interleukin-1///cellular response to lipopolysaccharide///cellular response to nutrient levels///cellular response to tumor necrosis factor///establishment of Sertoli cell barrier///establishment of endothelial barrier///extracellular matrix organization///heterophilic cell-cell adhesion via plasma membrane cell adhesion molecules///interferon-gamma-mediated signaling pathway///leukocyte cell-cell adhesion///leukocyte migration///membrane to membrane docking///negative regulation of calcium ion transport///negative regulation of endothelial cell apoptotic process///negative regulation of extrinsic apoptotic signaling pathway via death domain receptors///ovarian follicle development///positive regulation of ERK1 and ERK2 cascade///positive regulation of GTPase activity///positive regulation of NF-kappaB transcription factor activity///positive regulation of actin filament polymerization///positive regulation of cellular extravasation///positive regulation of nitric oxide biosynthetic process///positive regulation of peptidyl-tyrosine phosphorylation///positive regulation of vasoconstriction///receptor-mediated virion attachment to host cell///regulation of cell adhesion///regulation of cell shape///regulation of immune response///regulation of leukocyte mediated cytotoxicity///regulation of ruffle assembly///response to amino acid///response to amphetamine///response to copper ion///response to drug///response to ethanol///response to gonadotropin///response to ionizing radiation///response to organic cyclic compound///response to sulfur dioxide///sensory perception of sound///viral entry into host cell,integrin binding///integrin binding///protein binding///receptor activity///transmembrane signaling receptor activity///virus receptor activity
218810_PM_at,-0.0499786794761926,0.0499786794761926,zinc finger CCCH-type containing 12A,ZC3H12A,80149,"3'-UTR-mediated mRNA destabilization///3'-UTR-mediated mRNA destabilization///RNA phosphodiester bond hydrolysis///RNA phosphodiester bond hydrolysis, endonucleolytic///RNA phosphodiester bond hydrolysis, exonucleolytic///angiogenesis///apoptotic process///cell differentiation///cellular response to DNA damage stimulus///cellular response to chemokine///cellular response to glucose starvation///cellular response to interleukin-1///cellular response to ionomycin///cellular response to lipopolysaccharide///cellular response to lipopolysaccharide///cellular response to oxidative stress///cellular response to phorbol 13-acetate 12-myristate///cellular response to sodium arsenite///cellular response to tumor necrosis factor///cellular response to virus///defense response to virus///inflammatory response///negative regulation by host of viral genome replication///negative regulation of I-kappaB kinase/NF-kappaB signaling///negative regulation of I-kappaB kinase/NF-kappaB signaling///negative regulation of NF-kappaB import into nucleus///negative regulation of NF-kappaB transcription factor activity///negative regulation of cardiac muscle contraction///negative regulation of cytokine production involved in inflammatory response///negative regulation of gene expression///negative regulation of interferon-gamma secretion///negative regulation of interleukin-1 beta secretion///negative regulation of interleukin-6 production///negative regulation of interleukin-6 secretion///negative regulation of macrophage activation///negative regulation of muscle cell apoptotic process///negative regulation of nitric oxide biosynthetic process///negative regulation of production of miRNAs involved in gene silencing by miRNA///negative regulation of protein phosphorylation///negative regulation of tumor necrosis factor production///negative regulation of tumor necrosis factor secretion///nervous system development///nuclear-transcribed mRNA catabolic process, endonucleolytic cleavage-dependent decay///positive regulation of angiogenesis///positive regulation of angiogenesis///positive regulation of autophagy///positive regulation of cell death///positive regulation of defense response to virus by host///positive regulation of endothelial cell migration///positive regulation of execution phase of apoptosis///positive regulation of fat cell differentiation///positive regulation of gene expression///positive regulation of lipid storage///positive regulation of mRNA catabolic process///positive regulation of mRNA catabolic process///positive regulation of miRNA catabolic process///positive regulation of p38MAPK cascade///positive regulation of protein deubiquitination///positive regulation of protein import into nucleus///positive regulation of reactive oxygen species metabolic process///positive regulation of transcription from RNA polymerase II promoter///protein deubiquitination///protein oligomerization///regulation of gene expression///transcription, DNA-templated",DNA binding///RNA binding///RNA stem-loop binding///chromatin binding///endoribonuclease activity///exoribonuclease activity///mRNA 3'-UTR AU-rich region binding///mRNA 3'-UTR binding///mRNA binding///metal ion binding///miRNA binding///protein binding///ribonuclease activity///ribosome binding///contributes_to thiol-dependent ubiquitin-specific protease activity
202924_PM_s_at,-0.04996634259211308,0.04996634259211308,PLAG1 like zinc finger 2,PLAGL2,5326,chylomicron assembly///lipid metabolic process///positive regulation of intrinsic apoptotic signaling pathway///positive regulation of protein targeting to mitochondrion///positive regulation of transcription from RNA polymerase II promoter///post-embryonic development///transcription from RNA polymerase II promoter,"metal ion binding///sequence-specific DNA binding///transcription factor activity, sequence-specific DNA binding///transcriptional activator activity, RNA polymerase II core promoter proximal region sequence-specific binding"
202637_PM_s_at,-0.04984251414281299,0.04984251414281299,intercellular adhesion molecule 1,ICAM1,3383,T cell activation via T cell receptor contact with antigen bound to MHC molecule on antigen presenting cell///T cell antigen processing and presentation///acute inflammatory response to antigenic stimulus///adhesion of symbiont to host///cell adhesion///cell adhesion mediated by integrin///cell aging///cellular response to alkaloid///cellular response to glucose stimulus///cellular response to hypoxia///cellular response to interleukin-1///cellular response to lipopolysaccharide///cellular response to nutrient levels///cellular response to tumor necrosis factor///establishment of Sertoli cell barrier///establishment of endothelial barrier///extracellular matrix organization///heterophilic cell-cell adhesion via plasma membrane cell adhesion molecules///interferon-gamma-mediated signaling pathway///leukocyte cell-cell adhesion///leukocyte migration///membrane to membrane docking///negative regulation of calcium ion transport///negative regulation of endothelial cell apoptotic process///negative regulation of extrinsic apoptotic signaling pathway via death domain receptors///ovarian follicle development///positive regulation of ERK1 and ERK2 cascade///positive regulation of GTPase activity///positive regulation of NF-kappaB transcription factor activity///positive regulation of actin filament polymerization///positive regulation of cellular extravasation///positive regulation of nitric oxide biosynthetic process///positive regulation of peptidyl-tyrosine phosphorylation///positive regulation of vasoconstriction///receptor-mediated virion attachment to host cell///regulation of cell adhesion///regulation of cell shape///regulation of immune response///regulation of leukocyte mediated cytotoxicity///regulation of ruffle assembly///response to amino acid///response to amphetamine///response to copper ion///response to drug///response to ethanol///response to gonadotropin///response to ionizing radiation///response to organic cyclic compound///response to sulfur dioxide///sensory perception of sound///viral entry into host cell,integrin binding///integrin binding///protein binding///receptor activity///transmembrane signaling receptor activity///virus receptor activity
241889_PM_at,-0.0498092635398459,0.0498092635398459,NFKB inhibitor delta,NFKBID,84807,inflammatory response///negative regulation of I-kappaB kinase/NF-kappaB signaling///negative regulation of NF-kappaB transcription factor activity///negative regulation of T cell differentiation in thymus///positive regulation of thymocyte apoptotic process///regulation of transcription from RNA polymerase II promoter,NF-kappaB binding///protein binding///transcription cofactor activity
37028_PM_at,-0.04966966925378096,0.04966966925378096,protein phosphatase 1 regulatory subunit 15A,PPP1R15A,23645,aging///apoptotic process///cell cycle arrest///cellular response to DNA damage stimulus///cellular response to UV///cellular response to antibiotic///cellular response to calcium ion starvation///cellular response to carbohydrate stimulus///cellular response to cordycepin///cellular response to desipramine///cellular response to drug///cellular response to gold(3+)///cellular response to methamphetamine hydrochloride///cellular response to methyl methanesulfonate///cellular response to oxygen-glucose deprivation///endoplasmic reticulum unfolded protein response///intrinsic apoptotic signaling pathway in response to endoplasmic reticulum stress///negative regulation of PERK-mediated unfolded protein response///negative regulation of cell death///negative regulation of cell proliferation///negative regulation of endoplasmic reticulum stress-induced eIF2 alpha phosphorylation///negative regulation of peptidyl-threonine phosphorylation///negative regulation of phosphoprotein phosphatase activity///negative regulation of protein dephosphorylation///negative regulation of protein processing///negative regulation of transcription from RNA polymerase II promoter in response to endoplasmic reticulum stress///peptidyl-serine dephosphorylation///positive regulation of apoptotic process///positive regulation of endoplasmic reticulum stress-induced eIF2 alpha dephosphorylation///positive regulation of endoplasmic reticulum stress-induced eIF2 alpha dephosphorylation///positive regulation of peptidyl-serine dephosphorylation///positive regulation of phosphoprotein phosphatase activity///positive regulation of protein phosphorylation///positive regulation of translational initiation in response to stress///protein localization to endoplasmic reticulum///regulation of angiogenesis///regulation of endoplasmic reticulum stress-induced eIF2 alpha phosphorylation///regulation of translational initiation by eIF2 alpha dephosphorylation///response to cocaine///response to endoplasmic reticulum stress///response to environmental enrichment///response to immobilization stress,protein binding///protein kinase binding///protein phosphatase 1 binding///protein phosphatase 1 binding///protein phosphatase type 1 activator activity///protein phosphatase type 1 regulator activity
205067_PM_at,-0.04964285966390073,0.04964285966390073,interleukin 1 beta,IL1B,3553,"MAPK cascade///activation of MAPK activity///aging///apoptotic process///cell-cell signaling///cellular response to antibiotic///cellular response to drug///cellular response to fatty acid///cellular response to glucose stimulus///cellular response to mechanical stimulus///cellular response to methotrexate///cellular response to organic cyclic compound///cellular response to organic substance///chronic inflammatory response to antigenic stimulus///cytokine-mediated signaling pathway///ectopic germ cell programmed cell death///embryo implantation///estrogen metabolic process///extrinsic apoptotic signaling pathway in absence of ligand///fever generation///glycoprotein metabolic process///hyaluronan biosynthetic process///inflammatory response///inflammatory response///interleukin-1 beta production///lipopolysaccharide-mediated signaling pathway///memory///monocyte aggregation///negative regulation of MAP kinase activity///negative regulation of adiponectin secretion///negative regulation of branching morphogenesis of a nerve///negative regulation of cell proliferation///negative regulation of extrinsic apoptotic signaling pathway in absence of ligand///negative regulation of glucose transport///negative regulation of glutamate secretion///negative regulation of insulin receptor signaling pathway///negative regulation of lipid catabolic process///negative regulation of lipid metabolic process///negative regulation of neural precursor cell proliferation///negative regulation of neuron differentiation///negative regulation of transcription from RNA polymerase II promoter///neutrophil chemotaxis///ovulation///pentacyclic triterpenoid metabolic process///polyketide metabolic process///positive regulation of ERK1 and ERK2 cascade///positive regulation of JNK cascade///positive regulation of JUN kinase activity///positive regulation of NF-kappaB import into nucleus///positive regulation of NF-kappaB transcription factor activity///positive regulation of T cell mediated immunity///positive regulation of T cell proliferation///positive regulation of angiogenesis///positive regulation of apoptotic process///positive regulation of astrocyte differentiation///positive regulation of calcidiol 1-monooxygenase activity///positive regulation of cell adhesion molecule production///positive regulation of cell division///positive regulation of chemokine biosynthetic process///positive regulation of cytosolic calcium ion concentration///positive regulation of fever generation///positive regulation of gene expression///positive regulation of granulocyte macrophage colony-stimulating factor production///positive regulation of heterotypic cell-cell adhesion///positive regulation of heterotypic cell-cell adhesion///positive regulation of histone acetylation///positive regulation of histone phosphorylation///positive regulation of immature T cell proliferation in thymus///positive regulation of interferon-gamma production///positive regulation of interleukin-2 biosynthetic process///positive regulation of interleukin-6 biosynthetic process///positive regulation of interleukin-6 production///positive regulation of interleukin-6 secretion///positive regulation of interleukin-8 production///positive regulation of lipid catabolic process///positive regulation of membrane protein ectodomain proteolysis///positive regulation of mitotic nuclear division///positive regulation of monocyte chemotactic protein-1 production///positive regulation of myosin light chain kinase activity///positive regulation of neutrophil chemotaxis///positive regulation of nitric oxide biosynthetic process///positive regulation of phagocytosis///positive regulation of prostaglandin secretion///positive regulation of protein export from nucleus///positive regulation of protein phosphorylation///positive regulation of protein phosphorylation///positive regulation of sequence-specific DNA binding transcription factor activity///positive regulation of transcription from RNA polymerase II promoter///positive regulation of transcription, DNA-templated///positive regulation of vascular endothelial growth factor production///positive regulation of vascular endothelial growth factor production///positive regulation of vascular endothelial growth factor receptor signaling pathway///protein kinase B signaling///purine nucleobase metabolic process///regulation of I-kappaB kinase/NF-kappaB signaling///regulation of establishment of endothelial barrier///regulation of insulin secretion///regulation of nitric-oxide synthase activity///response to ATP///response to L-ascorbic acid///response to dexamethasone///response to diuretic///response to estradiol///response to ethanol///response to gamma radiation///response to heat///response to hypoxia///response to morphine///response to ozone///response to peptide hormone///response to statin///response to stilbenoid///response to vitamin D///sequestering of triglyceride///signal transduction///smooth muscle adaptation///social behavior///wound healing",cytokine activity///cytokine activity///interleukin-1 receptor binding///interleukin-1 receptor binding///protein domain specific binding
220091_PM_at,-0.04960372014576107,0.04960372014576107,solute carrier family 2 member 6,SLC2A6,11182,glucose import///glucose transmembrane transport///proton transport,D-glucose transmembrane transporter activity///glucose transmembrane transporter activity///glucose transmembrane transporter activity///sugar:proton symporter activity
207075_PM_at,-0.04939509377420466,0.04939509377420466,NLR family pyrin domain containing 3,NLRP3,114548,"NLRP3 inflammasome complex assembly///activation of cysteine-type endopeptidase activity involved in apoptotic process///apoptotic process///cellular response to lipopolysaccharide///defense response///defense response to virus///detection of biotic stimulus///inflammatory response///innate immune response///interleukin-1 beta production///interleukin-1 secretion///interleukin-18 production///negative regulation of NF-kappaB import into nucleus///negative regulation of NF-kappaB transcription factor activity///negative regulation of acute inflammatory response///negative regulation of inflammatory response///negative regulation of interleukin-1 beta secretion///positive regulation of NF-kappaB transcription factor activity///positive regulation of T-helper 17 cell differentiation///positive regulation of T-helper 2 cell cytokine production///positive regulation of T-helper 2 cell differentiation///positive regulation of cysteine-type endopeptidase activity involved in apoptotic process///positive regulation of interleukin-1 beta secretion///positive regulation of interleukin-13 production///positive regulation of interleukin-4 production///positive regulation of interleukin-5 production///positive regulation of transcription from RNA polymerase II promoter///positive regulation of type 2 immune response///protein oligomerization///signal transduction///transcription, DNA-templated",ATP binding///peptidoglycan binding///protein binding///sequence-specific DNA binding///transcription factor binding
